CDSCode,NCESDist,NCESSchool,District,School,Street,StreetAbr,City,Zip,MailStreet,MailCity,MailZip,MailState,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude
19101990121897.00,691078,12696,Los Angeles County Office of Education,Central Juvenile Hall,1605 Eastlake Avenue,1605 Eastlake Ave.,Los Angeles,90033,9300 Imperial Highway,Downey,90242,CA,7/1/2010,6/30/2025,N,No Data,No Data,0,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,12-Jun,12-Jul,N,N,N,No Data,34.063497,-118.20587
19646341936046.00,618390,2260,Inglewood Unified,Morningside High,10500 South Yukon Avenue,10500 South Yukon Ave.,Inglewood,90303-2003,10500 South Yukon Avenue,Inglewood,90303-2003,CA,7/1/1980,6/30/2025,N,No Data,No Data,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,12-Sep,12-Sep,N,N,N,No Data,33.940768,-118.33511
19646346014476.00,618390,2251,Inglewood Unified,Highland Elementary,430 Venice Way,430 Venice Way,Inglewood,90302-2099,430 Venice Way,Inglewood,90302-2099,CA,7/1/1980,6/30/2025,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-7,N,N,N,No Data,33.972731,-118.36276
19646346057749.00,618390,2249,Inglewood Unified,Crozier (George W.) Junior High,1210 West Regent Street,1210 West Regent St.,Inglewood,90301-1705,1210 West Regent Street,Inglewood,90301-1705,CA,7/1/1980,6/30/2025,N,No Data,No Data,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,8-Jul,8,N,N,N,No Data,33.964264,-118.3676
19646346098768.00,618390,2253,Inglewood Unified,Hudnall (Claude) Elementary,331 West Olive Street,331 West Olive St.,Inglewood,90301-2213,331 West Olive Street,Inglewood,90301-2213,CA,7/1/1980,6/30/2025,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,No Data,33.961095,-118.36045
19647256015382.00,622500,2725,Long Beach Unified,Hudson,2335 Webster Avenue,2335 Webster Ave.,Long Beach,90810-3254,2335 Webster Avenue,Long Beach,90810-3254,CA,7/1/1980,6/30/2025,N,No Data,No Data,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,33.799581,-118.21983
19647330115113.00,622710,11856,Los Angeles Unified,"Ivy Bound Academy of Math, Science, and Technology Charter Middle",15355 Morrison Street,15355 Morrison St.,Sherman Oaks,91403-1514,15355 Morrison Street,Sherman Oaks,91403-1514,CA,9/5/2007,6/30/2025,Y,936,Directly funded,54,Unified School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,8-May,8-May,N,N,N,602099,34.160903,-118.46807
19647330121293.00,622710,12572,Los Angeles Unified,Alliance Tennenbaum Family Technology High,2050 North San Fernando Road,2050 North San Fernando Rd.,Los Angeles,90065-1267,2050 North San Fernando Road,Los Angeles,90065-1267,CA,8/15/2011,6/30/2025,Y,1162,Directly funded,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,12-Sep,12-Sep,N,N,N,602289,34.10226,-118.23739
19647330135616.00,622710,14100,Los Angeles Unified,Crete Academy,6103 Crenshaw Boulevard,6103 Crenshaw Blvd.,Los Angeles,90043-3946,6103 Crenshaw Boulevard,Los Angeles,90043-3946,CA,8/14/2017,6/30/2025,Y,1854,Directly funded,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,N,601470,33.984498,-118.33126
19769680109926.00,No Data,10895,SBE - Academia Avance Charter,Academia Avance Charter,115 North Avenue 53,115 North Avenue 53,Highland Park,90042-4005,PO Box 42095,Los Angeles,90042,CA,9/30/2005,6/30/2025,Y,738,Directly funded,2,State Board of Education,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,12-Jun,12-Jun,N,N,N,602291,34.107288,-118.19842
