GSYSCHLPRP,COUNTY,STAAVT,PROPPCT,FPCT,DISTAVT,CITY,DISTRICT,STPCT,CPTOTENR23,SCHOOLNAME
7043,"Contra Costa",7,9,33,9,"Concord","Mt. Diablo Unified",6,425,"El Monte Elementary"
7042,"Contra Costa",7,6,96,4,"Richmond","West Contra Costa Unified",4,308,"Verde Elementary"
7041,"San Joaquin",7,24,38,10,"Stockton","Lincoln Unified",22,731,"Brookside"
7040,"Contra Costa",7,10,78,7,"Antioch","Antioch Unified",6,468,"Jack London Elementary"
7039,"Contra Costa",7,3,31,4,"Oakley","Liberty Union High",2,2527,"Freedom High"
7038,"Calaveras",7,5,39,6,"Copperopolis","Mark Twain Union Elementary",6,241,"Copperopolis Elementary"
7037,"Contra Costa",7,7,65,7,"Antioch","Antioch Unified",5,369,"Black Diamond Middle"
7036,"Tuolumne",7,13,48,14,"Sonora","Sonora Union High",14,168,"Dario Cassina High; Theodore Bird High"
7035,"San Joaquin",7,5,69,6,"Stockton","Stockton Unified",6,1213,"Aspire Port City Academy; Aspire Langston Hughes Academy"
7034,"Contra Costa",7,10,9,9,"Concord","Mt. Diablo Unified",7,748,"Meadow Homes Elementary"
7033,"Contra Costa",7,7,2,9,"Pleasant Hill","Mt. Diablo Unified",6,2733,"College Park High; Valley View Middle"
7032,"Contra Costa",7,10,54,7,"Antioch","Antioch Unified",10,513,"Lone Tree Elementary"
7031,"Contra Costa",7,7,1,9,"Concord","Mt. Diablo Unified",5,377,"Ayers Elementary"
7030,"Contra Costa",7,1,83,4,"San Pablo","West Contra Costa Unified",0,530,"Dover Elementary"
7029,"Tuolumne",7,21,40,10,"Sonora","Sonora Elementary",10,724,"Sonora Elementary"
7028,"Marin",7,13,12,8,"Kentfield","Kentfield Elementary",12,513,"Adaline E. Kent Middle"
7027,"Contra Costa",7,8,2,9,"Concord","Mt. Diablo Unified",7,515,"Silverwood Elementary"
7026,"Tuolumne",7,35,59,-999,"Sonora","Tuolumne County Superintendent of Schools",-999,68,"Tuolumne County Community/ISP; Tuolumne County Special Education"
7025,"Contra Costa",7,14,28,6,"Knightsen","Knightsen Elementary",15,272,"Knightsen Elementary"
7024,"Marin",7,9,13,8,"Kentfield","Kentfield Elementary",1,541,"Anthony G. Bacich Elementary"
7023,"Contra Costa",7,19,32,4,"El Sobrante","West Contra Costa Unified",6,333,"Olinda Elementary"
7022,"Contra Costa",7,1,55,7,"Antioch","Antioch Unified",1,421,"Carmen Dragon Elementary"
7021,"San Joaquin",7,7,84,6,"Stockton","Stockton Unified",7,477,"Grunsky Elementary"
7020,"San Joaquin",7,3,68,6,"Stockton","Stockton Unified",3,2284,"Franklin High"
7019,"San Joaquin",7,7,78,6,"Stockton","Stockton Unified",7,659,"Madison Elementary"
7018,"Contra Costa",7,12,5,9,"Pleasant Hill","Mt. Diablo Unified",13,358,"Gregory Gardens Elementary"
7017,"San Joaquin",7,11,97,13,"Stockton","Linden Unified",15,29,"Pride Continuation"
7016,"Contra Costa",7,6,68,7,"Antioch","Antioch Unified",3,1851,"Deer Valley High"
7015,"San Joaquin",7,8,61,6,"Stockton","Stockton Unified",9,1968,"Commodore Stockton Skills; Primary Years Academy; Hoover Elementary"
7014,"Contra Costa",7,6,70,7,"Antioch","Antioch Unified",5,710,"Dallas Ranch Middle"
7013,"San Joaquin",7,14,89,6,"Stockton","Stockton Unified",16,604,"Fillmore Elementary"
7012,"Tuolumne",7,70,41,40,"Sonora","Summerville Union High",66,416,"Gold Rush Charter"
7011,"Contra Costa",7,2,73,4,"Richmond","West Contra Costa Unified",1,1826,"Ford Elementary; Richmond High"
7010,"San Joaquin",7,18,81,6,"Stockton","Stockton Unified",9,679,"Pittman Charter"
7009,"Contra Costa",7,23,88,4,"Richmond","West Contra Costa Unified",28,310,"Riverside Elementary"
7008,"San Joaquin",7,6,85,6,"Stockton","Stockton Unified",7,542,"El Dorado Elementary"
7007,"San Joaquin",7,13,59,6,"Stockton","Stockton Unified",16,428,"Stockton Early College Academy"
7006,"San Joaquin",7,4,79,6,"Stockton","Stockton Unified",5,791,"John C. Fremont Elementary"
7005,"Contra Costa",7,14,14,9,"Concord","Mt. Diablo Unified",27,476,"Cambridge Elementary"
7004,"Contra Costa",7,7,51,7,"Antioch","Antioch Unified",4,470,"Diablo Vista Elementary"
7003,"Tuolumne",7,0,100,-999,"Sonora","Tuolumne County Superintendent of Schools",-999,12,"Gold Ridge Educational Center"
7002,"Contra Costa",7,1,47,4,"Richmond","West Contra Costa Unified",0,397,"West County Mandarin"
7001,"Contra Costa",7,3,97,4,"Richmond","West Contra Costa Unified",3,435,"Cesar E. Chavez Elementary"
7000,"Contra Costa",7,8,1,9,"Pleasant Hill","Mt. Diablo Unified",8,578,"Strandwood Elementary"
6999,"Contra Costa",7,6,18,8,"Concord","Contra Costa County Office of Education",5,2381,"Clayton Valley Charter High"
6998,"Contra Costa",7,5,21,7,"Brentwood","Brentwood Union Elementary",4,941,"Pioneer Elementary"
6997,"San Joaquin",7,28,72,6,"Stockton","Stockton Unified",0,407,"Health Careers Academy"
6996,"Contra Costa",7,11,22,9,"Concord","Mt. Diablo Unified",13,403,"Ygnacio Valley Elementary"
6995,"San Joaquin",7,8,75,6,"Stockton","Stockton Unified",10,675,"Elmwood Elementary"
6994,"Contra Costa",7,0,77,4,"Richmond","West Contra Costa Unified",0,502,"Richmond Charter Elementary-Benito Juarez"
6993,"Contra Costa",7,5,96,4,"Richmond","West Contra Costa Unified",3,537,"Peres Elementary"
6992,"San Joaquin",7,12,79,6,"Stockton","Stockton Unified",14,528,"Victory Elementary"
6991,"Mono",7,5,21,5,"Lee Vining","Eastern Sierra Unified",7,38,"Lee Vining High"
6990,"Marin",7,5,0,6,"Larkspur","Larkspur-Corte Madera",4,469,"Hall Middle"
6989,"San Joaquin",7,4,84,6,"Stockton","Stockton Unified",5,987,"King Elementary"
