GSYSCHLPRP,COUNTY,STAAVT,PROPPCT,FPCT,DISTAVT,CITY,DISTRICT,STPCT,CPTOTENR23,SCHOOLNAME
8580,"Del Norte",7,2,70,8,"Smith River","Del Norte County Unified",3,245,"Smith River Elementary"
8578,"Siskiyou",7,1,75,1,"Tulelake","Tulelake Basin Joint Unified",1,237,"Tulelake Basin Elementary"
8577,"Siskiyou",7,2,75,1,"Tulelake","Tulelake Basin Joint Unified",1,174,"Tulelake High"
8563,"Siskiyou",7,3,86,3,"Dorris","Butte Valley Unified",3,201,"Butte Valley Elementary"
8562,"Del Norte",7,0,72,8,"Crescent City","Del Norte County Unified",0,491,"Crescent Elk Middle"
8527,"Siskiyou",7,13,89,5,"Dunsmuir","Dunsmuir Elementary",5,93,"Dunsmuir Elementary"
8519,"Humboldt",7,4,72,12,"Hoopa","Klamath-Trinity Joint Unified",1,718,"Captain John Continuation High; Hoopa Valley High; Hoopa Valley Elementary"
8503,"Humboldt",7,12,76,5,"Arcata","Arcata Elementary",3,260,"Arcata Elementary"
8491,"Humboldt",7,0,94,9,"Eureka","Humboldt County Office of Education",0,97,"Eureka Community"
8488,"Humboldt",7,1,80,11,"Eureka","Eureka City Schools",1,239,"Lafayette Elementary"
8487,"Shasta",7,3,87,3,"Montgomery Creek","Mountain Union Elementary",3,82,"Montgomery Creek Elementary"
8485,"Humboldt",7,4,100,9,"Eureka","Humboldt County Office of Education",0,7,"Humboldt County Office of Education Juvenile Hall Court"
8482,"Humboldt",7,3,78,11,"Eureka","Eureka City Schools",0,139,"Pacific View Charter 2.0"
8481,"Humboldt",7,1,76,11,"Eureka","Eureka City Schools",0,75,"Zoe Barnum High"
8474,"Humboldt",7,10,71,3,"Eureka","South Bay Union Elementary",2,217,"Pine Hill Elementary"
8472,"Humboldt",7,4,74,9,"Eureka","Humboldt County Office of Education",0,309,"Northern United - Humboldt Charter"
8470,"Humboldt",7,4,70,3,"Eureka","South Bay Union Elementary",3,200,"South Bay Charter; South Bay Elementary"
8467,"Trinity",7,19,79,5,"Weaverville","Trinity County Office of Education",0,14,"R.I.S.E. Academy"
8462,"Shasta",7,11,72,5,"French Gulch","French Gulch-Whiskeytown Elementary",5,18,"French Gulch-Whiskeytown Elementary"
8459,"Humboldt",7,8,85,1,"Loleta","Loleta Union Elementary",1,102,"Loleta Elementary"
8453,"Humboldt",7,2,79,3,"Fortuna","Fortuna Elementary",2,237,"Fortuna Middle"
8450,"Humboldt",7,6,95,9,"Fortuna","Humboldt County Office of Education",5,55,"Eel River Community"
8448,"Humboldt",7,2,80,3,"Fortuna","Fortuna Elementary",2,292,"Linell K. Walker Elementary"
8447,"Shasta",7,28,78,13,"Redding","Shasta County Office of Education",0,107,"Shasta County Independent Study"
8439,"Humboldt",7,0,78,3,"Fortuna","Fortuna Elementary",0,250,"Toddy Thomas Middle"
8409,"Humboldt",7,2,77,1,"Rio Dell","Rio Dell Elementary",1,326,"Eagle Prairie Elementary; Monument Middle"
8399,"Humboldt",7,4,78,5,"Bridgeville","Bridgeville Elementary",5,37,"Bridgeville Elementary"
8371,"Tehama",7,4,95,7,"Paynes Creek","Antelope Elementary",1,19,"Plum Valley Elementary"
8350,"Tehama",7,5,82,17,"Red Bluff","Red Bluff Union Elementary",5,549,"Vista Preparatory Academy"
8349,"Humboldt",7,16,86,9,"Garberville","Humboldt County Office of Education",2,7,"Southern Humboldt Community"
8347,"Lassen",7,1,70,4,"Herlong","Fort Sage Unified",1,232,"Herlong High; Sierra Primary; Mt. Lassen Charter"
8337,"Tehama",7,5,89,7,"Corning","Corning Union Elementary",5,585,"Woodson Elementary"
8336,"Tehama",7,1,72,2,"Corning","Corning Union High",2,1031,"Corning High"
8329,"Tehama",7,7,72,2,"Corning","Corning Union High",5,107,"Corning Independent Study; Centennial Continuation High"
8327,"Tehama",7,4,85,7,"Corning","Corning Union Elementary",3,434,"Maywood Middle"
8318,"Plumas",7,7,70,4,"Quincy","Plumas County Office of Education; Plumas Unified",4,343,"Portola Opportunity; C. Roy Carmichael Elementary"
8264,"Glenn",7,5,81,5,"Willows","Willows Unified",5,602,"Murdock Elementary"
8262,"Butte",7,11,85,42,"Oroville","Butte County Office of Education",0,13,"Table Mountain"
8260,"Glenn",7,2,70,1,"Willows","Glenn County Office of Education",0,229,"Glenn County Special Education; William Finch"
8259,"Glenn",7,10,80,5,"Willows","Willows Unified",5,295,"Willows Intermediate"
8257,"Butte",7,4,85,8,"Oroville","Oroville Union High",2,13,"Oroville High Community Day"
