DISTRICTNA,SHAPE_LENG,SHAPE_AREA,OBJECTID_1,DISTRICT_1,GSADISTRIC,STACNPPCTA,MEANSTCNPD,SHAPE__ARE,SHAPE__LEN
"ABC Unified",42573.7558714,57173528.6809,0,"ABC Unified","ABC Unified",7,7,57173528.6211,42573.7558714
"Acalanes Union High",113967.96397,341381202.84,0,"Acalanes Union High","Walnut Creek Elementary",17,17,341381202.875,113967.96397
"Ackerman Charter",20531.8755926,18731512.5085,0,"Ackerman Charter","Ackerman Charter",18,18,18731512.5195,20531.8755926
"Acton-Agua Dulce Unified",134401.395184,819933347.881,0,"Acton-Agua Dulce Unified","Acton-Agua Dulce Unified",5,5,819933347.848,134401.395184
"Adelanto Elementary",169665.858859,1288239958.13,0,"Adelanto Elementary","San Bernardino County Office of Education",2,2,1288239958.11,169665.858859
"Alameda Unified",56522.9828476,47554894.4583,0,"Alameda Unified","Alameda Unified",4,4,47554894.4336,56522.9828476
"Albany City Unified",12696.3827774,7096327.47444,0,"Albany City Unified","Albany City Unified",3,3,7096327.48047,12696.3827774
"Alexander Valley Union Elementary",121169.977439,283901335.495,0,"Alexander Valley Union Elementary","Alexander Valley Union Elementary",10,10,283901335.504,121169.977439
"Alhambra Unified",45489.3582376,62052634.0417,0,"Alhambra Unified","Garvey Elementary",7,7,62052634.0547,45489.3582376
"Alisal Union",110860.980018,258670944.269,0,"Alisal Union","Salinas Union High",2,2,258670944.188,110860.980018
"Allensworth Elementary",39362.9945474,79895616.6728,0,"Allensworth Elementary","Allensworth Elementary",6,6,79895616.668,39362.9945474
"Alpaugh Unified",75929.783793,276588346.963,0,"Alpaugh Unified","Alpaugh Unified",1,1,276588346.992,75929.783793
"Alpine County Unified",275565.410961,3156005637.59,0,"Alpine County Unified","Alpine County Unified",37,37,3156005637.54,275565.410961
"Alpine Union Elementary",99787.1186592,351998630.197,0,"Alpine Union Elementary","Dehesa Elementary",7,8,351998630.238,99787.1186592
"Alta-Dutch Flat Union Elementary",124678.444473,459800804.256,0,"Alta-Dutch Flat Union Elementary","Alta-Dutch Flat Union Elementary",12,12,459800804.258,124678.444473
"Alta Loma Elementary",40375.6984506,93967193.0997,0,"Alta Loma Elementary","Chaffey Joint Union High",10,10,93967193.125,40375.6984506
